14571 00000320 SRA,   t0, t0, t1,         rd:0x00008765
14572 00000324 SRA,   t0, t0, t1,         rd:0x00000876
14573 00000328 LUI,   t1,     0x77777000, rd:0x77777000
14574 0000032c ADDI,  t1, t1, 0x00000777, rd:0x77777777
14575 00000330 SRA,   t0, t1, t0,         rd:0x000001dd
14576 00000334 SRA,   t0, t1, t0,         rd:0x00000003
14577 00000338 SRA,   t0, t1, t0,         rd:0x0eeeeeee
14578 0000033c SRA,   t0, t1, t0,         rd:0x0001dddd
14579 00000340 SRA,   t0, t1, t0,         rd:0x00000003
14580 00000344 SW,    t0, s0, 0x00000000, sram1[0x0001001c]=0x00000003
14581 00000348 ADDI,  s0, s0, 0x00000004, rd:0x00010020
14582 0000034c LUI,   t0,     0x12345000, rd:0x12345000
14583 00000350 ADDI,  t0, t0, 0x00000678, rd:0x12345678
14584 00000354 LUI,   t1,     0xfedcc000, rd:0xfedcc000
14585 00000358 ADDI,  t1, t1, 0xfffffa98, rd:0xfedcba98
14586 0000035c OR,    t0, t0, t1,         rd:0xfefcfef8
14587 00000360 OR,    t0, t0, t1,         rd:0xfefcfef8
14588 00000364 OR,    t0, t0, t1,         rd:0xfefcfef8
14589 00000368 OR,    t0, t0, t1,         rd:0xfefcfef8
14590 0000036c OR,    t0, t0, t1,         rd:0xfefcfef8
14591 00000370 LUI,   t1,     0x62400000, rd:0x62400000
14592 00000374 ADDI,  t1, t1, 0x00000285, rd:0x62400285
14593 00000378 OR,    t0, t1, t0,         rd:0xfefcfefd
14594 0000037c OR,    t0, t1, t0,         rd:0xfefcfefd
14595 00000380 OR,    t0, t1, t0,         rd:0xfefcfefd
14596 00000384 OR,    t0, t1, t0,         rd:0xfefcfefd
14597 00000388 OR,    t0, t1, t0,         rd:0xfefcfefd
14598 0000038c SW,    t0, s0, 0x00000000, sram1[0x00010020]=0xfefcfefd
14599 00000390 ADDI,  s0, s0, 0x00000004, rd:0x00010024
14600 00000394 LUI,   t0,     0x12345000, rd:0x12345000
14601 00000398 ADDI,  t0, t0, 0x00000678, rd:0x12345678
14602 0000039c ADDI,  t1, z0, 0xffffffff, rd:0xffffffff
14603 000003a0 AND,   t0, t0, t1,         rd:0x12345678
14604 000003a4 AND,   t0, t0, t1,         rd:0x12345678
14605 000003a8 AND,   t0, t0, t1,         rd:0x12345678
14606 000003ac AND,   t0, t0, t1,         rd:0x12345678
14607 000003b0 AND,   t0, t0, t1,         rd:0x12345678
14608 000003b4 LUI,   t1,     0xf0f0f000, rd:0xf0f0f000
14609 000003b8 ADDI,  t1, t1, 0x000000f0, rd:0xf0f0f0f0
14610 000003bc AND,   t0, t1, t0,         rd:0x10305070
14611 000003c0 AND,   t0, t1, t0,         rd:0x10305070
14612 000003c4 AND,   t0, t1, t0,         rd:0x10305070
14613 000003c8 AND,   t0, t1, t0,         rd:0x10305070
14614 000003cc AND,   t0, t1, t0,         rd:0x10305070
14615 000003d0 SW,    t0, s0, 0x00000000, sram1[0x00010024]=0x10305070
14616 000003d4 ADDI,  s0, s0, 0x00000004, rd:0x00010028
14617 000003d8 AUIPC, t1, pc, 0x00001000, rd:0x000013d8
14618 000003dc ADDI,  t1, t1, 0xfffff8b8, rd:0x00000c90
14619 000003e0 
14620 000003e4 ADDI,  sp, sp, 0xffffffec, rd:0x00011fe8
14621 000003e8 SW,    t0, sp, 0x00000000, sram1[0x00011fe8]=0x10305070
14622 000003ec ADDI,  t0, sp, 0x00000000, rd:0x00011fe8
14623 000003f0 SW,    t0, sp, 0x00000004, sram1[0x00011fec]=0x00011fe8
14624 000003f4 ADDI,  t0, sp, 0x00000004, rd:0x00011fec
14625 000003f8 SW,    t0, sp, 0x00000008, sram1[0x00011ff0]=0x00011fec
14626 000003fc ADDI,  t0, sp, 0x00000008, rd:0x00011ff0
14627 00000400 ADDI,  ra, z0, 0x00000000, rd:0x00000000
14628 00000404 ADDI,  sp, z0, 0x00000000, rd:0x00000000
14629 00000408 ADDI,  gp, z0, 0x00000000, rd:0x00000000
14630 0000040c ADDI,  tp, z0, 0x00000000, rd:0x00000000
14631 00000410 ADDI,  t0, z0, 0x00000000, rd:0x00000000
14632 00000414 ADDI,  t1, z0, 0x00000000, rd:0x00000000
14633 00000418 ADDI,  t2, z0, 0x00000000, rd:0x00000000
14634 0000041c ADDI,  s0, z0, 0x00000000, rd:0x00000000
14635 00000420 ADDI,  s1, z0, 0x00000000, rd:0x00000000
14636 00000424 ADDI,  a0, z0, 0x00000000, rd:0x00000000
14637 00000428 ADDI,  a1, z0, 0x00000000, rd:0x00000000
